Date,Aundh - Baner,Kothrud - Bawdhan ,Sinhagad Road ,Warje - Karvenagar ,Shivajinagar - Ghole Road,Kasba - Vishrambaugwada,Dhankawadi - Sahakarnagar ,Bhawani Peth ,Bibwewadi ,Dhole Patil Road ,Yerwada - Kalas - Dhanori ,Nagar Road - Vadgaonsheri,Wanawadi - Ramtekadi ,Kondhwa - Yewalewadi ,Hadapsar - Mundhwa,Outside PMC 
08-Apr-20,3,1,5,1,6,17,13,40,4,16,6,1,5,6,12,6
09-Apr-20,3,1,5,1,6,17,13,40,4,16,6,1,5,6,12,6
10-Apr-20,3,1,5,1,6,23,13,42,4,25,6,1,5,6,18,6
11-Apr-20,3,1,5,1,7,29,14,56,5,28,9,3,8,8,21,10
12-Apr-20,3,1,5,1,11,33,19,69,10,31,16,3,10,8,21,12
13-Apr-20,3,1,5,1,11,41,18,78,11,39,17,3,15,8,21,12
14-Apr-20,3,1,5,9,17,42,22,85,12,40,28,4,18,8,21,15
15-Apr-20,3,1,5,9,27,45,26,96,15,48,31,5,22,9,21,18
16-Apr-20,3,1,8,9,28,51,27,108,17,57,43,6,24,9,21,21
17-Apr-20,3,1,8,9,33,63,30,130,20,61,48,6,54,9,21,25
18-Apr-20,3,1,9,9,39,65,32,140,23,70,52,11,32,5,23,27
20-Apr-20,2,1,8,8,59,93,33,157,23,96,69,13,30,10,24,35
21-Apr-20,2,1,8,8,59,102,38,168,24,97,68,16,32,10,26,37
22-Apr-20,2,1,9,9,77,111,43,171,24,110,82,18,34,12,26,39
23-Apr-20,3,1,10,9,90,114,45,187,24,122,101,21,43,12,28,41
24-Apr-20,3,1,10,9,110,124,49,195,30,134,104,26,44,12,28,44
25-Apr-20,3,1,10,9,133,127,55,214,31,160,119,29,54,13,30,49
26-Apr-20,4,2,10,9,142,131,61,245,32,163,127,30,56,16,32,50
27-Apr-20,4,2,11,9,157,134,62,250,33,184,139,30,58,16,41,53
28-Apr-20,4,2,11,9,175,154,62,263,36,190,158,31,61,19,43,55
29-Apr-20,4,2,11,9,190,157,64,266,36,203,167,35,63,19,51,58
01-May-20,4,3,11,9,227,151,121,325,55,246,172,42,90,28,54,64
02-May-20,4,4,12,9,237,156,121,352,64,267,182,48,90,29,55,64
03-May-20,4,4,12,10,240,158,121,391,68,290,194,49,95,29,55,67
04-May-20,4,5,16,10,242,169,124,416,71,314,214,55,96,30,56,68
05-May-20,4,5,16,11,243,172,124,433,76,322,217,57,104,33,58,70
06-May-20,6,3,12,15,247,172,79,451,85,347,236,56,110,29,52,65
11-May-20,5,4,15,15,326,319,135,511,145,409,294,65,132,34,64,109
15-May-20,4,10,23,17,335,282,231,600,153,488,371,89,142,47,78,129
17-May-20,8,9,43,26,360,391,176,627,184,700,430,101,176,58,84,136
21-May-20,10,11,61,33,379,441,198,671,235,874,515,127,207,79,107,166
23-May-20,10,14,70,35,410,483,205,710,277,1019,609,146,231,83,130,187
26-May-20,13,23,87,39,450,520,227,772,397,1236,738,176,286,87,176,240
29-May-20,20,27,127,42,472,547,240,800,436,1303,787,185,322,98,197,240
31-May-20,32,32,193,45,528,592,268,822,468,1442,851,210,363,107,236,294
01-Jun-20,33,36,195,45,544,599,269,828,469,1461,861,214,371,108,243,294
04-Jun-20,48,46,280,48,624,646,300,865,504,1560,935,258,431,112,283,325
06-Jun-20,97,54,323,51,655,722,317,879,516,1599,954,283,473,140,314,325
12-Jun-20,217,93,434,67,751,945,358,917,565,1679,1049,358,671,183,380,403
17-Jun-20,296,142,534,90,862,1086,406,976,617,1772,1126,398,763,238,450,457
18-Jun-20,302,184,572,97,918,1129,459,1001,643,1798,1133,407,784,252,479,474
21-Jun-20,383,302,750,157,1102,1361,555,1087,736,1868,1239,452,940,313,636,601
24-Jun-20,421,356,825,212,1210,1561,620,1165,814,1948,1280,493,985,359,737,677
30-Jun-20,585,577,1143,608,1408,2071,871,1411,1063,2287,1457,640,1159,549,1127,1116
08-Jul-20,819,915,1476,1081,1635,2508,1274,1648,1423,2787,1760,880,1419,842,1816,1116
11-Jul-20,893,1147,1628,1308,1757,2708,1450,1796,1587,2857,1957,1029,1532,984,2014,2225
17-Jul-20,1023,1567,2034,1853,1944,2991,1961,2043,1860,3014,2271,1356,1730,1262,2452,2872
21-Jul-20,1362,1955,2381,2237,2065,3669,2404,2396,2449,3361,2520,1724,1984,1486,3007,3408
26-Jul-20,1640,2503,2948,2818,2453,4371,3085,2768,2948,3682,2833,2269,2234,1832,3716,3408
